Date,CCPI_Index,Inflation_MoM%,Inflation_YoY%,USD,Petrol_LKR,Diesel_LKR
2020-01-01,134.6,,,181.40364285714287,137.0,104.0
2020-02-01,134.6,0.0,,181.56280000000004,137.0,104.0
2020-03-01,133.4,-0.8915304606240682,,185.05667999999997,137.0,104.0
2020-04-01,133.6,0.14992503748125774,,193.08540555555555,137.0,104.0
2020-05-01,134.2,0.44910179640718084,,187.8650470588235,137.0,104.0
2020-06-01,135.3,0.819672131147553,,185.9545238095238,137.0,104.0
2020-07-01,135.4,0.07390983000739038,,185.84869565217394,137.0,104.0
2020-08-01,135.4,0.0,,184.89385499999997,137.0,104.0
2020-09-01,136.3,0.6646971935007517,,185.03172857142854,137.0,104.0
2020-10-01,136.5,0.14673514306675628,,184.43791,137.0,104.0
2020-11-01,137.1,0.439560439560438,,184.78820000000002,137.0,104.0
2020-12-01,138.0,0.6564551422319598,,187.18220476190476,137.0,104.0
2021-01-01,138.7,0.5072463768115876,3.046062407132233,190.49180526315786,137.0,104.0
2021-02-01,139.1,0.2883922134102379,3.343239227340278,194.06650555555552,137.0,104.0
2021-03-01,138.9,-0.14378145219265948,4.122938530734643,196.98253636363634,137.0,104.0
2021-04-01,138.8,-0.07199424046075986,3.8922155688622784,197.42304444444446,137.0,104.0
2021-05-01,140.3,1.0806916426512991,4.545454545454564,199.58471666666668,137.0,104.0
2021-06-01,142.4,1.4967925873129007,5.247597930524761,199.8160619047619,137.0,104.0
2021-07-01,143.1,0.49157303370785943,5.686853766617417,199.97777000000002,157.0,111.0
2021-08-01,143.5,0.2795248078266921,5.982274741506632,200.49652727272726,157.0,111.0
2021-09-01,144.1,0.4181184668989424,5.722670579603806,201.98584285714284,157.0,111.0
2021-10-01,146.9,1.9430950728660745,7.619047619047614,201.08985789473684,157.0,111.0
2021-11-01,150.7,2.5867937372362038,9.919766593727196,201.85815999999997,157.0,111.0
2021-12-01,154.7,2.654280026542799,12.10144927536232,201.39897391304345,157.0,111.0
2022-01-01,124.3,-19.65093729799612,-10.382119682768565,201.46467368421048,177.0,121.0
2022-02-01,125.8,1.2067578439259874,-9.56146657081236,201.73619999999997,177.0,121.0
2022-03-01,129.7,3.1001589825119247,-6.623470122390218,255.8080619047619,177.0,121.0
2022-04-01,142.1,9.560524286815731,2.3775216138328448,319.4404333333334,254.0,176.0
2022-05-01,153.6,8.092892329345535,9.479686386315024,358.9390315789474,338.0,289.0
2022-06-01,171.7,11.783854166666675,20.5758426966292,360.2428095238095,420.0,400.0
2022-07-01,178.9,4.19336051252186,25.017470300489176,360.87241000000006,470.0,460.0
2022-08-01,182.8,2.1799888205701556,27.38675958188155,360.99827727272725,450.0,430.0
2022-09-01,189.3,3.5557986870897063,31.367106176266503,362.38257272727253,450.0,430.0
2022-10-01,188.5,-0.4226096143687297,28.31858407079646,363.14842105263165,450.0,430.0
2022-11-01,187.1,-0.7427055702917795,24.153948241539492,363.3940476190476,370.0,415.0
2022-12-01,187.6,0.26723677177979965,21.26696832579187,363.16518999999994,370.0,430.0
2023-01-01,188.6,0.5330490405117239,51.72968624296057,362.422775,370.0,420.0
2023-02-01,189.5,0.4772004241781591,50.63593004769476,361.976615,400.0,405.0
2023-03-01,195.0,2.902374670184704,50.34695451040865,329.47085454545453,400.0,405.0
2023-04-01,192.3,-1.3846153846153841,35.32723434201268,321.42435625,340.0,325.0
2023-05-01,192.3,0.0,25.19531250000002,310.16385714285724,333.0,310.0
2023-06-01,192.3,0.0,11.99767035527084,301.261175,318.0,310.0
2023-07-01,190.2,-1.092043681747279,6.316377864728895,319.29034499999995,328.0,308.0
2023-08-01,190.1,-0.0525762355415349,3.9934354485776646,321.5764047619049,348.0,306.0
2023-09-01,191.8,0.8942661756970116,1.3206550449022636,322.76928421052634,361.0,341.0
2023-10-01,191.4,-0.2085505735140769,1.538461538461533,324.73027727272734,361.0,341.0
2023-11-01,193.4,1.0449320794148287,3.367183324425449,328.25003636363635,356.0,356.0
2023-12-01,195.1,0.8790072388831449,3.997867803837951,326.7423263157895,346.0,329.0
2024-01-01,200.7,2.8703229113275164,6.415694591728527,321.1706047619048,366.0,358.0
2024-02-01,200.6,-0.04982561036372957,5.857519788918197,312.58011999999997,371.0,363.0
2024-03-01,196.7,-1.9441674975074763,0.8717948717948731,305.664963157895,371.0,363.0
2024-04-01,195.2,-0.7625826131164248,1.5080603224128852,299.42318421052624,371.0,363.0
2024-05-01,194.1,-0.563524590163933,0.9360374414976613,299.69233499999996,368.0,333.0
2024-06-01,195.6,0.7727975270479082,1.716068642745694,303.81207777777786,355.0,317.0
2024-07-01,194.7,-0.4601226993865115,2.3659305993690927,303.7559434782609,344.0,317.0
2024-08-01,191.1,-1.8489984591679498,0.5260389268805898,300.66829999999993,344.0,317.0
2024-09-01,190.9,-0.10465724751438366,-0.4692387904066786,301.15049999999997,332.0,307.0
2024-10-01,189.9,-0.5238344683080154,-0.7836990595611271,293.78513809523804,311.0,283.0
2024-11-01,189.4,-0.263296471827279,-2.0682523267838704,292.009205,311.0,283.0
2024-12-01,191.7,1.2143611404434873,-1.7426960533060032,291.68051428571425,309.0,286.0
2025-01-01,192.6,0.46948356807512415,-4.0358744394618835,296.17960476190484,309.0,286.0
2025-02-01,192.2,-0.20768431983385627,-4.187437686939188,296.8034352941176,309.0,286.0
2025-03-01,191.6,-0.3121748178980255,-2.5927808845958245,295.90903157894735,309.0,286.0
2025-04-01,191.2,-0.20876826722338038,-2.049180327868849,298.531194736842,299.0,286.0
2025-05-01,192.8,0.8368200836820217,-0.6697578567748441,299.4141894736842,293.0,274.0
2025-06-01,194.5,0.8817427385892085,-0.5623721881390598,299.90136999999993,293.0,274.0
2025-07-01,194.1,-0.20565552699228773,-0.30816640986132127,301.1217318181819,305.0,289.0
2025-08-01,193.3,-0.41215868109221176,1.151229722658309,301.48911499999997,305.0,289.0
2025-09-01,193.7,0.20693222969476732,1.4667365112624342,,299.0,283.0
2025-10-01,193.8,0.051626226122891694,2.0537124802527673,,299.0,277.0
2025-11-01,193.4,-0.20639834881320818,2.11193241816261,,294.0,277.0
2025-12-01,195.8,1.2409513960703222,2.138758476786662,,294.0,277.0
